FIPS,Total_Actual_Costs,Total_Standardized_Costs,Part_B_Drugs_Per_Capita_Actual_Costs,Total_Population_Based_Payment_Reduction_Costs,PQI03_Diabetes_LT_Complication_Admission_Rate_(age_<_65),PQI03_Diabetes_LT_Complication_Admission_Rate_(age_65-74),PQI03_Diabetes_LT_Complication_Admission_Rate_(age_75+),PQI07_Hypertension_Admission_Rate_(age_<_65),PQI07_Hypertension_Admission_Rate_(age_65-74),PQI07_Hypertension_Admission_Rate_(age_75+)
2013,405555.18,221269.96,34.74, ,,,,,,
2016,836362.0,581890.3,, ,,,,,,
2020,143477810.43,116284606.71,240.6, ,,,,,,
2050,6496577.09,3638969.64,2.39, ,,,,,,
2060,527921.46,414553.13,9.7, ,,,,,,
2068,353551.94,297993.57,121.8, ,,,,,,
2070,3489521.71,2670118.55,9.36, ,,,,,,
2090,37010985.22,30571546.72,343.8, ,,,,,,
2100,2328849.75,1388079.56,271.33, ,,,,,,
2105,,,,*,,,,,,
2110,19259772.0,14622528.22,75.98, ,,,,,,
2122,40041244.69,32355631.66,100.09, ,,,,,,
2130,11934987.93,10505871.75,78.39, ,,,,,,
2150,6805775.46,5742303.41,95.05, ,,,,,,
2164,675424.59,403564.58,24.17, ,,,,,,
2170,43083211.65,35739712.17,134.13, ,,,,,,
2180,4608787.73,3533289.21,16.88, ,,,,,,
2185,3543361.79,2117068.67,, ,,,,,,
2188,4207333.07,3208992.46,, ,,,,,,
2201,3948833.52,2774417.36,, ,,,,,,
2220,8710990.9,6223851.64,37.19, ,,,,,,
2230,,,,*,,,,,,
2232,1790928.08,1221022.62,60.93, ,,,,,,
2240,4115658.94,3272615.92,203.73, ,,,,,,
2999,,,,*,,,,,,
2261,8272000.29,6985897.42,153.28, ,,,,,,
2270,3242816.6,1729799.73,, ,,,,,,
2280,6725423.3,5561520.78,35.71, ,,,,,,
2282,680344.33,461004.56,, ,,,,,,
2290,3703369.19,2749408.93,130.43, ,,,,,,
1001,44084625.85,47132225.18,680.65, ,,,,,,
1003,189709497.47,208893104.68,242.47, ,,,,,,
1005,31930497.71,35264002.6,294.75, ,,,,,,
1007,22866285.9,24122538.78,300.89, ,,,,,,
1009,46586314.51,49325806.34,275.58, ,,,,,,
1011,10100095.5,10973418.14,634.45, ,,,,,,
1013,35705028.37,38125046.43,281.81, ,,,,,,
1015,170504086.28,186661754.33,272.97, ,,,,,,
1017,47119761.29,50313059.35,154.59, ,,,,,,
1019,34976495.46,37388212.05,292.84, ,,,,,,
1021,40890953.14,43119500.77,411.28, ,,,,,,
1023,20157541.33,21944569.01,237.12, ,,,,,,
1025,36564699.61,40458383.2,182.22, ,,,,,,
1027,23197749.94,25491158.1,252.26, ,,,,,,
1029,19796378.17,21233715.32,250.61, ,,,,,,
1031,55555216.99,61757906.58,237.12, ,,,,,,
1033,94643882.78,104095859.53,364.63, ,,,,,,
1035,23694898.0,25956910.25,192.13, ,,,,,,
1037,16132931.25,17603152.12,308.54, ,,,,,,
1039,66462871.11,73196449.29,223.88, ,,,,,,
1041,19796341.52,21464372.77,288.45, ,,,,,,
1043,109435707.77,117702439.37,379.96, ,,,,,,
1045,57661481.98,64479635.1,237.36, ,,,,,,
1047,60796093.67,62459815.7,361.89, ,,,,,,
1049,85035475.71,91486266.08,329.43, ,,,,,,
1051,69149361.23,74066840.36,553.73, ,,,,,,
1053,55489196.33,61210049.7,198.14, ,,,,,,
1055,160916805.78,176624360.09,274.75, ,,,,,,
1057,28444209.98,30183240.44,232.5, ,,,,,,
1059,49710936.56,54583405.87,320.48, ,,,,,,
1061,40965675.06,45916061.71,250.5, ,,,,,,
1063,15034568.31,15638089.2,248.57, ,,,,,,
1065,24162005.9,25286419.03,142.54, ,,,,,,
1067,21319847.9,23705393.56,235.07, ,,,,,,
1069,114463272.92,127296232.47,263.78, ,,,,,,
1071,77539372.46,82580354.21,323.69, ,,,,,,
1073,537565017.88,565305906.83,343.88, ,,,,,,
1075,25671430.22,27218000.53,228.74, ,,,,,,
1077,117078690.47,128640902.15,297.58, ,,,,,,
1079,48338853.1,51603616.56,376.73, ,,,,,,
1081,87834644.05,93938132.75,186.58, ,,,,,,
1083,77953721.19,81569835.89,388.16, ,,,,,,
1085,13140930.39,13805814.34,545.48, ,,,,,,
1087,20883710.68,22476297.86,375.39, ,,,,,,
1089,285306984.0,302514042.93,495.24, ,,,,,,
1091,33248835.27,35964149.42,201.24, ,,,,,,
1093,43075889.71,46334151.49,288.28, ,,,,,,
1095,121335972.57,130194153.58,339.89, ,,,,,,
1097,332029577.96,365282888.45,287.86, ,,,,,,
1099,33023351.7,36389516.83,319.82, ,,,,,,
1101,198261054.23,210339395.41,508.19, ,,,,,,
1103,143392066.45,152400614.45,522.01, ,,,,,,
1105,15312566.91,16075633.35,292.71, ,,,,,,
1107,33431905.76,34293419.86,188.13, ,,,,,,
1109,33794958.76,36635502.5,352.55, ,,,,,,
1111,31525199.29,34615436.33,152.23, ,,,,,,
1113,58290937.89,61813282.13,194.18, ,,,,,,
1117,113069009.03,120509276.77,348.24, ,,,,,,
1115,61437107.87,65745639.41,291.81, ,,,,,,
1119,16685617.07,18099421.67,154.0, ,,,,,,
1121,104938626.83,112698908.48,336.86, ,,,,,,
1123,65597895.16,71770143.55,263.91, ,,,,,,
1125,207219827.67,214781045.72,175.02, ,,,,,,
1999,,,,*,,,,,,
